"Username","Tweet","Likes","Timestamp"
"The Telegraph
@Telegraph
·
11h", The BBC is to be sued by a man interviewed in a case of mistaken identity over a row about royalties.,24,2023-08-28T05:31:01.000Z
"The Telegraph
@Telegraph
·
10h",Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia,21,2023-08-28T05:46:16.000Z
"The Telegraph
@Telegraph
·
10h","World-first initiative will offer more intensive and targeted care under new national programme, officials announced",16,2023-08-28T05:43:46.000Z
"The Telegraph
@Telegraph
·
11h", The BBC is to be sued by a man interviewed in a case of mistaken identity over a row about royalties.,24,2023-08-28T05:31:01.000Z
"The Telegraph
@Telegraph
·
9h"," ""Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia"" - Read more from Telegraph View below",34,2023-08-28T06:46:03.000Z
"The Telegraph
@Telegraph
·
10h"," Families to fund record £8.1bn toward first-time buyer purchases

Parents and grandparents risk their own retirement pots to help family get on the property ladder

Read the full story: https://telegraph.co.uk/business/2023/08/28/families-fund-record-8bn-family-buy-first-time-house/…",9,2023-08-28T06:31:20.000Z
"The Telegraph
@Telegraph
·
10h"," ""Expansion of the policy would fail every hard-evidence test on what benefits it brings"" | Writes 
@julianhjessop
Read the full column below ",27,2023-08-28T06:15:58.000Z
"The Telegraph
@Telegraph
·
10h",Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia,21,2023-08-28T05:46:16.000Z
"The Telegraph
@Telegraph
·
10h","World-first initiative will offer more intensive and targeted care under new national programme, officials announced",16,2023-08-28T05:43:46.000Z
"The Telegraph
@Telegraph
·
11h", The BBC is to be sued by a man interviewed in a case of mistaken identity over a row about royalties.,24,2023-08-28T05:31:01.000Z
"The Telegraph
@Telegraph
·
9h"," ""Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia"" - Read more from Telegraph View below",34,2023-08-28T06:46:03.000Z
"The Telegraph
@Telegraph
·
10h"," Families to fund record £8.1bn toward first-time buyer purchases

Parents and grandparents risk their own retirement pots to help family get on the property ladder

Read the full story: https://telegraph.co.uk/business/2023/08/28/families-fund-record-8bn-family-buy-first-time-house/…",9,2023-08-28T06:31:20.000Z
"The Telegraph
@Telegraph
·
10h"," ""Expansion of the policy would fail every hard-evidence test on what benefits it brings"" | Writes 
@julianhjessop
Read the full column below ",27,2023-08-28T06:15:58.000Z
"The Telegraph
@Telegraph
·
10h",Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia,21,2023-08-28T05:46:16.000Z
"The Telegraph
@Telegraph
·
10h","World-first initiative will offer more intensive and targeted care under new national programme, officials announced",16,2023-08-28T05:43:46.000Z
"The Telegraph
@Telegraph
·
11h", The BBC is to be sued by a man interviewed in a case of mistaken identity over a row about royalties.,24,2023-08-28T05:31:01.000Z
"The Telegraph
@Telegraph
·
9h"," ""Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia"" - Read more from Telegraph View below",34,2023-08-28T06:46:03.000Z
"The Telegraph
@Telegraph
·
10h"," Families to fund record £8.1bn toward first-time buyer purchases

Parents and grandparents risk their own retirement pots to help family get on the property ladder

Read the full story: https://telegraph.co.uk/business/2023/08/28/families-fund-record-8bn-family-buy-first-time-house/…",9,2023-08-28T06:31:20.000Z
"The Telegraph
@Telegraph
·
10h"," ""Expansion of the policy would fail every hard-evidence test on what benefits it brings"" | Writes 
@julianhjessop
Read the full column below ",27,2023-08-28T06:15:58.000Z
"The Telegraph
@Telegraph
·
10h",Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia,21,2023-08-28T05:46:16.000Z
"The Telegraph
@Telegraph
·
10h","World-first initiative will offer more intensive and targeted care under new national programme, officials announced",16,2023-08-28T05:43:46.000Z
"The Telegraph
@Telegraph
·
11h", The BBC is to be sued by a man interviewed in a case of mistaken identity over a row about royalties.,24,2023-08-28T05:31:01.000Z
"The Telegraph
@Telegraph
·
9h"," ""Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia"" - Read more from Telegraph View below",34,2023-08-28T06:46:03.000Z
"The Telegraph
@Telegraph
·
10h"," Families to fund record £8.1bn toward first-time buyer purchases

Parents and grandparents risk their own retirement pots to help family get on the property ladder

Read the full story: https://telegraph.co.uk/business/2023/08/28/families-fund-record-8bn-family-buy-first-time-house/…",9,2023-08-28T06:31:20.000Z
"The Telegraph
@Telegraph
·
10h"," ""Expansion of the policy would fail every hard-evidence test on what benefits it brings"" | Writes 
@julianhjessop
Read the full column below ",27,2023-08-28T06:15:58.000Z
"The Telegraph
@Telegraph
·
10h",Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia,21,2023-08-28T05:46:16.000Z
"The Telegraph
@Telegraph
·
10h","World-first initiative will offer more intensive and targeted care under new national programme, officials announced",16,2023-08-28T05:43:46.000Z
"The Telegraph
@Telegraph
·
11h", The BBC is to be sued by a man interviewed in a case of mistaken identity over a row about royalties.,24,2023-08-28T05:31:01.000Z
"The Telegraph
@Telegraph
·
19h"," Chris Evans flipped over an auto rickshaw, or tuk-tuk, whilst he was at his own festival in Hampshire, resulting in two passengers sustaining minor injuries",4,2023-08-27T21:02:22.000Z
"The Telegraph
@Telegraph
·
19h"," The deaths of Yevgeny Prigozhin and another nine people on a crashed jet have all been confirmed. 

Read more here about the controversial investigation into the death of the leader of Wagner Group: https://telegraph.co.uk/world-news/2023/08/27/prigozhin-wagner-leader-dead-russia-confirms/…",9,2023-08-27T21:01:33.000Z
"The Telegraph
@Telegraph
·
19h"," One of the guns used by Ryan Christopher Palmeter, 21, had swastikas drawn on it, police said",4,2023-08-27T20:47:51.000Z
"The Telegraph
@Telegraph
·
19h"," GPs will be paid extra if they let patients see the doctor of their choice, under plans unveiled by Labour",32,2023-08-27T20:46:58.000Z
"The Telegraph
@Telegraph
·
19h"," Beasts of England is best when it strikes out for new pastures – when it forgets the fable, and becomes a thriller",6,2023-08-27T20:46:22.000Z
"The Telegraph
@Telegraph
·
19h"," “When people are not able to stay polite among other people and be able to enjoy an event, they should stay at home.”",7,2023-08-27T20:46:16.000Z
"The Telegraph
@Telegraph
·
19h"," Chris Evans flipped over an auto rickshaw, or tuk-tuk, whilst he was at his own festival in Hampshire, resulting in two passengers sustaining minor injuries",4,2023-08-27T21:02:22.000Z
"The Telegraph
@Telegraph
·
19h"," The deaths of Yevgeny Prigozhin and another nine people on a crashed jet have all been confirmed. 

Read more here about the controversial investigation into the death of the leader of Wagner Group: https://telegraph.co.uk/world-news/2023/08/27/prigozhin-wagner-leader-dead-russia-confirms/…",9,2023-08-27T21:01:33.000Z
"The Telegraph
@Telegraph
·
19h"," One of the guns used by Ryan Christopher Palmeter, 21, had swastikas drawn on it, police said",4,2023-08-27T20:47:51.000Z
"The Telegraph
@Telegraph
·
19h"," GPs will be paid extra if they let patients see the doctor of their choice, under plans unveiled by Labour",32,2023-08-27T20:46:58.000Z
"The Telegraph
@Telegraph
·
19h"," Beasts of England is best when it strikes out for new pastures – when it forgets the fable, and becomes a thriller",6,2023-08-27T20:46:22.000Z
"The Telegraph
@Telegraph
·
19h"," “When people are not able to stay polite among other people and be able to enjoy an event, they should stay at home.”",7,2023-08-27T20:46:16.000Z
